occupation_id,isco08_code,match_type
591132,3359,partial
591133,3359,partial
591137,3359,exact
591138,3359,partial
591233,3359,exact
591999,3359,partial
452234,3411,exact
521131,3411,exact
521231,3411,exact
521232,3411,exact
521233,3411,exact
521234,3411,exact
521236,3411,exact
221332,3412,partial
223999,3412,partial
411231,3412,exact
411232,3412,exact
411431,3412,partial
411632,3412,exact
411634,3412,exact
411635,3412,exact
411731,3412,partial
411732,3412,exact
411733,3412,exact
411933,3412,exact
421131,3412,exact
422131,3412,exact
422132,3412,exact
431231,3412,partial
232231,3413,partial
461937,3413,exact
462631,3421,exact
462632,3421,exact
462633,3421,exact
462699,3421,exact
411932,3422,exact
462431,3422,exact
462432,3422,exact
462433,3422,exact
462434,3422,exact
462436,3422,exact
462437,3422,exact
462441,3422,exact
462442,3422,exact
462443,3422,exact
462499,3422,exact
462531,3422,exact
462532,3422,exact
462599,3422,exact
462131,3423,exact
462231,3423,exact
462232,3423,exact
462435,3423,exact
462438,3423,exact
391331,3431,exact
461936,3431,partial
242431,3432,partial
391931,3432,exact
619135,3432,exact
391131,3433,exact
391132,3433,exact
161631,3434,exact
321131,3434,exact
231199,3435,partial
231435,3435,partial
391234,3435,exact
391299,3435,partial
461231,3435,exact
461932,3435,exact
599934,3435,exact
599935,3435,exact
314199,3511,partial
314231,3512,partial
314231,3513,partial
314136,3514,exact
382231,3521,exact
391231,3521,exact
391232,3521,exact
391233,3521,exact
391299,3521,partial
731999,3521,partial
314132,3522,partial
314133,3522,exact
314134,3522,exact
314135,3522,exact
561131,4110,exact
522131,4120,partial
561233,4131,exact
561231,4132,exact
531131,4211,exact
471432,4212,exact
471534,4212,exact
549131,4212,exact
549132,4212,exact
631131,4213,partial
549133,4214,exact
461633,4221,exact
461831,4221,exact
461931,4221,exact
619934,4221,partial
551131,4222,exact
551232,4223,exact
553231,4224,exact
551231,4225,exact
552131,4226,partial
553131,4226,exact
599938,4227,exact
552231,4229,exact
599936,4229,exact
541131,4311,exact
541231,4311,exact
542131,4311,partial
531431,4312,partial
531931,4312,exact
531932,4312,exact
599999,4312,partial
171232,4313,exact
541331,4313,exact
571231,4321,exact
571331,4321,exact
571332,4321,exact
571431,4321,exact
571531,4321,exact
721131,4321,partial
721132,4321,partial
732936,4321,exact
313331,4322,exact
571932,4322,exact
571131,4323,exact
599999,4323,partial
599132,4411,exact
599331,4412,exact
599332,4412,exact
712232,4412,partial
231333,4413,partial
599999,4413,partial
599999,4414,partial
599131,4415,partial
599231,4416,exact
599232,4416,exact
599999,4419,partial
619131,4419,exact
461731,5111,exact
461799,5111,exact
591138,5112,partial
899531,5112,exact
461631,5113,exact
461632,5113,exact
322331,5120,exact
471331,5131,partial
471532,5131,exact
471631,5131,exact
471632,5131,exact
471131,5132,exact
471231,5132,exact
471531,5132,exact
392131,5141,exact
392132,5141,exact
461131,5142,exact
461132,5142,exact
461232,5142,exact
461934,5142,exact
461941,5142,exact
631131,5142,partial
471535,5151,exact
811131,5151,partial
811431,5151,partial
161932,5152,exact
461999,5152,partial
811432,5152,exact
899131,5153,exact
461999,5161,partial
461999,5162,partial
461332,5163,exact
461333,5163,exact
341131,5164,exact
341132,5164,exact
341134,5164,exact
341199,5164,exact
341231,5164,partial
461432,5164,exact
461433,5164,exact
461499,5164,exact
461531,5165,exact
442999,5169,partial
461331,5169,exact
461431,5169,exact
461933,5169,exact
461938,5169,exact
461999,5169,partial
471999,5169,partial
631934,5211,partial
631934,5212,partial
161231,5221,partial
161332,5221,partial
162131,5221,partial
162132,5221,partial
162133,5221,partial
172431,5221,partial
631531,5222,exact
631131,5223,partial
631231,5223,exact
631331,5223,exact
631431,5223,exact
631432,5223,exact
471431,5230,exact
611131,5230,exact
619931,5230,partial
619934,5230,partial
619132,5241,exact
619133,5242,exact
631931,5243,exact
619134,5244,exact
631631,5245,exact
471331,5246,partial
631131,5246,partial
619933,5249,exact
619999,5249,partial
631933,5249,exact
631999,5249,exact
411731,5311,partial
431131,5311,exact
431132,5311,exact
431231,5311,partial
431232,5311,exact
431331,5311,exact
431431,5311,exact
432932,5311,exact
432131,5312,exact
432231,5312,exact
432931,5312,exact
421132,5321,partial
421331,5321,exact
442231,5321,exact
442531,5321,exact
421132,5322,partial
421231,5322,exact
422231,5322,partial
422232,5322,partial
311431,5329,exact
442331,5329,partial
442532,5329,exact
442999,5329,partial
731936,5329,partial
731937,5329,exact
451232,5411,exact
299231,5412,partial
451331,5412,exact
452131,5413,exact
452231,5414,exact
452232,5414,exact
452233,5414,exact
452235,5414,exact
452236,5414,exact
452238,5414,exact
452241,5414,exact
244331,5419,partial
244334,5419,partial
451231,5419,exact
452237,5419,partial
462331,5419,exact
462399,5419,exact
591132,5419,partial
591999,5419,partial
899631,5419,exact
899932,5419,exact
151131,6111,partial
151132,6111,partial
151133,6111,partial
151199,6111,partial
151236,6111,partial
343134,6111,partial
343136,6111,exact
343199,6111,partial
151232,6112,partial
151233,6112,partial
151237,6112,partial
151299,6112,partial
343134,6112,partial
343137,6112,exact
343199,6112,partial
151231,6113,partial
151234,6113,exact
151235,6113,exact
151299,6113,partial
342131,6113,exact
342231,6113,exact
342232,6113,exact
342431,6113,exact
342432,6113,exact
342531,6113,exact
342532,6113,exact
342931,6113,exact
343134,6113,partial
151199,6114,partial
151299,6114,partial
151399,6114,partial
343134,6114,partial
343199,6114,partial
152131,6121,partial
152231,6121,partial
152331,6121,partial
152431,6121,partial
152932,6121,partial
152933,6121,partial
152934,6121,partial
152999,6121,partial
341133,6121,exact
343231,6121,exact
343232,6121,exact
343233,6121,exact
343234,6121,exact
343235,6121,exact
343236,6121,exact
343299,6121,partial
343331,6121,exact
152935,6122,partial
343299,6122,partial
152931,6123,partial
152999,6123,partial
152999,6129,partial
343299,6129,partial
151332,6130,partial
151399,6130,partial
343135,6130,exact
343133,6210,exact
741132,6210,partial
842932,6210,partial
899999,6210,partial
151331,6221,partial
343131,6221,exact
313434,6222,partial
343132,6222,partial
899232,6222,partial
313434,6223,partial
343132,6223,partial
899232,6223,partial
842999,6224,partial
131331,7111,partial
821433,7111,exact
821499,7111,partial
371131,7112,exact
371132,7113,exact
361131,7114,partial
371231,7114,exact
369931,7115,exact
372131,7115,exact
372132,7115,exact
372133,7115,exact
399931,7115,partial
399938,7115,partial
821432,7115,partial
821434,7115,partial
821499,7115,partial
369932,7119,exact
821731,7119,exact
362331,7121,exact
363331,7121,partial
361131,7122,partial
362431,7122,exact
362231,7123,exact
362232,7123,exact
369933,7124,exact
821431,7124,exact
821932,7124,exact
362131,7125,exact
899432,7125,exact
363131,7126,exact
363231,7126,exact
363331,7126,partial
363931,7126,exact
363932,7126,exact
363933,7126,exact
399934,7126,exact
821632,7126,exact
382131,7127,exact
361231,7131,exact
351631,7132,exact
731131,7132,exact
731132,7133,partial
811131,7133,partial
811999,7133,partial
331934,7211,exact
331131,7212,partial
331132,7212,exact
331133,7212,exact
332233,7212,exact
732231,7212,partial
331131,7213,partial
331936,7213,exact
332133,7213,exact
351331,7213,exact
351531,7213,exact
399931,7213,partial
732231,7213,partial
331131,7214,partial
399938,7214,partial
821733,7214,exact
399931,7215,partial
399938,7215,partial
821231,7215,exact
331931,7221,exact
331933,7221,exact
332331,7222,exact
332333,7222,exact
332334,7222,exact
332336,7222,partial
332337,7222,exact
332231,7223,partial
332232,7223,exact
332234,7223,exact
732231,7223,partial
331935,7224,exact
332336,7224,partial
732231,7224,partial
351131,7231,exact
351433,7231,exact
351435,7231,exact
351436,7231,exact
351437,7231,exact
899431,7231,exact
899434,7231,exact
332132,7232,exact
332134,7232,partial
332231,7233,partial
332299,7233,exact
351431,7233,exact
399999,7233,partial
351432,7234,exact
399999,7234,partial
332335,7311,exact
332338,7311,exact
391933,7312,exact
391932,7313,exact
231732,7314,partial
399935,7315,partial
399999,7315,partial
332332,7316,exact
391531,7316,exact
231799,7317,partial
399599,7317,exact
231799,7318,partial
231799,7319,partial
391431,7321,exact
391433,7322,exact
391434,7322,exact
391432,7323,exact
381231,7411,partial
381233,7411,partial
351231,7412,exact
351434,7412,exact
381231,7412,partial
381232,7412,exact
381233,7412,partial
381234,7412,exact
381131,7413,exact
332131,7421,exact
332134,7421,partial
382232,7421,exact
382233,7421,exact
382234,7421,exact
314131,7422,exact
314199,7422,partial
382331,7422,exact
382332,7422,exact
382333,7422,exact
382334,7422,exact
322231,7511,exact
831231,7511,exact
831232,7511,exact
831331,7511,partial
831332,7511,partial
831333,7511,partial
322131,7512,exact
322431,7512,exact
831134,7512,partial
831135,7513,partial
831133,7514,partial
831135,7514,partial
831199,7514,partial
831133,7515,partial
831135,7515,partial
831199,7515,partial
839232,7515,partial
839233,7515,partial
831133,7516,partial
831135,7516,partial
831199,7516,partial
731232,7521,partial
369131,7522,exact
399531,7522,exact
399532,7522,exact
399533,7522,exact
399534,7523,exact
399433,7531,exact
399431,7532,exact
399434,7532,exact
399432,7533,exact
399435,7533,partial
399436,7533,exact
351532,7534,exact
399438,7534,exact
399999,7535,partial
731432,7535,partial
839199,7535,partial
399435,7536,partial
399437,7536,exact
399932,7541,exact
732332,7542,exact
343332,7543,exact
399999,7543,partial
839231,7543,exact
839232,7543,partial
839233,7543,partial
399331,7544,exact
842999,7544,partial
342331,7549,exact
399935,7549,partial
399999,7549,partial
399231,8111,partial
732331,8111,exact
731934,8112,partial
732999,8112,partial
399231,8113,partial
731933,8114,exact
731934,8114,partial
731938,8114,exact
731999,8114,partial
