osca_code,osca_title
399933,Fire Protection Equipment Technician
399999,Technicians and Trades Workers nec
269432,Paramedic
442931,Patient Transport Officer
269431,Critical Care Paramedic
269131,Dental Hygienist
269132,Dental Prosthetist
311232,Dental Technician
269133,Oral Health Therapist or Dental Therapist
411331,Diversional Therapist
411332,Lifestyle Coordinator
411333,Lifestyle Officer
441131,Enrolled Nurse
441931,Aboriginal and Torres Strait Islander Health Practitioner
441932,Aboriginal and Torres Strait Islander Health Worker
411232,Community Support Worker
441231,Massage Therapist
441232,Myotherapist
441233,Remedial Massage Therapist
411231,Community Development Officer
411634,Housing Officer
411933,Volunteer Coordinator
421131,Aged Care Coordinator
431231,Family Day Care Coordinator
422131,Disability Services Officer
411632,Family Support Worker
411631,Community Corrections Officer
411731,Residential Youth Worker
422132,Residential Care Officer
411732,Youth Justice Worker
411733,Youth Worker
431131,Early Childhood Education Room Leader
431132,Early Childhood Educator
431232,Family Day Care Educator
431331,Nanny
431431,Out of School Hours Care Educator
432931,Aboriginal and Torres Strait Islander Education Officer
432131,Inclusion Support Assistant
432231,Teaching Assistant
421132,Aged Care Team Leader
421231,Community Aged Care Support Worker
422231,Disability Support Worker
422232,Disability Team Leader
442331,Dental Assistant
442532,Patient Services Assistant
442231,Assistant in Nursing
421331,Residential Aged Care Worker
442531,Patient Care Assistant
442131,Allied Health Assistant
432932,Boarding Supervisor
411635,Refuge Worker
471131,Bar Attendant
471531,Bar Supervisor
471231,Barista
471331,Cafe Worker
471532,Cafe or Restaurant Supervisor
471432,Gaming Dealer or Croupier
471534,Gaming Supervisor
161131,Accommodation Service Manager
471533,Front Office Supervisor (Accommodation)
471535,Housekeeping Supervisor
471631,Sommelier
471632,Waiter
471931,Bar Useful
471932,Doorperson or Porter
471999,Hospitality Workers nec
451131,Defence Force Member - Other Ranks
451231,Emergency Services Officer
451232,Firefighter
299231,Specialist Police Officer
451331,General Duties Police Officer
452131,Correctional Officer
452231,"Alarm, Security or Surveillance Monitor"
452232,Cash In Transit Officer
452233,Crowd Controller
452234,Private Investigator
452236,Retail Loss Prevention Officer
452237,Security Consultant
452235,Protective Services Officer
452238,Security Officer
452241,Security Screening Officer
461131,Beauty Therapist
461132,Dermal Therapist
461531,Driving Instructor
461332,Funeral Director
461333,Funeral Worker
461631,Gallery or Museum Guide
461632,Tour Guide
461935,Natural Remedy Consultant
461941,Weight Loss Consultant
461633,Tourist Information Officer
461831,Travel Consultant
461731,Flight Attendant
461799,Travel Attendants nec
461331,Civil Celebrant
461934,Hair or Beauty Salon Assistant
461938,Sex Worker or Escort
461231,Body Artist
461933,First Aid Trainer
461937,Religious Assistant
442999,Patient and Health Care Assistants nec
461431,Dog Walker
461999,Personal Service and Travel Workers nec
462131,Fitness Instructor (General)
462231,Pilates Instructor
462232,Yoga Teacher
462438,Outdoor Adventure Leader or Guide
462432,Diving Instructor (Open Water)
462434,Gymnastics Coach or Instructor
462435,Horse Riding Coach or Instructor
462441,Snowsport Instructor
462442,Swimming Instructor or Coach
462443,Tennis Coach
462431,Basketball Coach
462433,Football Coach
462436,Martial Arts Instructor
462437,Netball Coach
462499,Sports Coaches and Outdoor Adventure Guides nec
462531,Dog and Horse Racing Official
411932,Sports Development Officer
462532,Sports Umpire
462599,Sports Officials and Umpires nec
462631,Footballer
462632,Golfer
462633,Jockey
462331,Lifeguard
462399,Sport and Recreation Safety Patrollers nec
462699,Sportspersons nec
511131,Contract Administrator
511231,Program or Project Administrator
171231,Office Manager
171331,Health Practice Manager
171332,Legal Practice Manager
171333,Veterinary Practice Manager
171399,Practice Managers nec
522231,Executive Assistant
522131,Secretary (General)
521235,Legal Secretary
561131,General Clerk
561231,Data Entry Operator
561232,Machine Shorthand Reporter
561233,Word Processing Operator
551132,Call or Contact Centre Team Leader
551131,Call or Contact Centre Operator
551231,Information Officer
553131,Receptionist (General)
552231,Ward Clerk
553231,Hotel or Motel Receptionist
552131,Medical Receptionist
541131,Accounts Clerk
541231,Estimator
542131,Bookkeeper
171232,Payroll Manager
541331,Payroll Officer
531131,Bank Officer
531231,Credit or Loans Officer
549132,Bookmaker
531431,Insurance Consultant
531931,Investment Administrator
531932,Paraplanner
599999,Clerical and Administrative Workers nec
549131,Betting Clerk
712231,Delivery Person
712232,Postal Delivery Officer
599131,Filing or Registry Clerk
599331,Mail Clerk
599332,Postal Sorting Officer
599938,Survey Interviewer
551232,Switchboard Operator
591135,Meter Reader
591137,Parking Officer
571131,Logistics Officer
571932,Production Coordinator (Logistics)
571331,Procurement Officer
571332,Purchasing Officer
571431,Stock Clerk
571531,Warehouse Administrator
571231,Order Clerk
571931,Freight Forwarder
