occupation_id,osca_title,candidate_onet_soc_code,candidate_onet_title,match_type
313935,Metallurgical or Materials Technician,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",partial
313935,Metallurgical or Materials Technician,19-4044.00,Hydrologic Technicians,partial
313935,Metallurgical or Materials Technician,17-3025.00,Environmental Engineering Technologists and Technicians,partial
313935,Metallurgical or Materials Technician,17-3026.00,Industrial Engineering Technologists and Technicians,partial
313935,Metallurgical or Materials Technician,17-3026.01,Nanotechnology Engineering Technologists and Technicians,partial
313935,Metallurgical or Materials Technician,19-4051.00,Nuclear Technicians,partial
313935,Metallurgical or Materials Technician,19-4051.02,Nuclear Monitoring Technicians,partial
313935,Metallurgical or Materials Technician,19-4092.00,Forensic Science Technicians,partial
313935,Metallurgical or Materials Technician,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",partial
313935,Metallurgical or Materials Technician,19-4099.01,Quality Control Analysts,partial
313935,Metallurgical or Materials Technician,19-4099.03,Remote Sensing Technicians,partial
313935,Metallurgical or Materials Technician,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
313935,Metallurgical or Materials Technician,33-2021.00,Fire Inspectors and Investigators,partial
313935,Metallurgical or Materials Technician,33-2022.00,Forest Fire Inspectors and Prevention Specialists,partial
313935,Metallurgical or Materials Technician,53-6041.00,Traffic Technicians,partial
313936,Non-destructive Testing Technician,17-3028.00,Calibration Technologists and Technicians,partial
313936,Non-destructive Testing Technician,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313936,Non-destructive Testing Technician,17-3029.01,Non-Destructive Testing Specialists,partial
313936,Non-destructive Testing Technician,17-3029.08,Photonics Technicians,partial
313936,Non-destructive Testing Technician,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",partial
313936,Non-destructive Testing Technician,19-4044.00,Hydrologic Technicians,partial
313936,Non-destructive Testing Technician,17-3025.00,Environmental Engineering Technologists and Technicians,partial
313936,Non-destructive Testing Technician,17-3026.00,Industrial Engineering Technologists and Technicians,partial
313936,Non-destructive Testing Technician,17-3026.01,Nanotechnology Engineering Technologists and Technicians,partial
313936,Non-destructive Testing Technician,19-4051.00,Nuclear Technicians,partial
313936,Non-destructive Testing Technician,19-4051.02,Nuclear Monitoring Technicians,partial
313936,Non-destructive Testing Technician,19-4092.00,Forensic Science Technicians,partial
313936,Non-destructive Testing Technician,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",partial
313936,Non-destructive Testing Technician,19-4099.01,Quality Control Analysts,partial
313936,Non-destructive Testing Technician,19-4099.03,Remote Sensing Technicians,partial
313936,Non-destructive Testing Technician,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
313936,Non-destructive Testing Technician,33-2021.00,Fire Inspectors and Investigators,partial
313936,Non-destructive Testing Technician,33-2022.00,Forest Fire Inspectors and Prevention Specialists,partial
313936,Non-destructive Testing Technician,53-6041.00,Traffic Technicians,partial
313937,Other Draftsperson,17-3011.00,Architectural and Civil Drafters,partial
313937,Other Draftsperson,17-3012.00,Electrical and Electronics Drafters,partial
313937,Other Draftsperson,17-3013.00,Mechanical Drafters,partial
313937,Other Draftsperson,17-3019.00,"Drafters, All Other",partial
313937,Other Draftsperson,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",partial
313999,Engineering Technicians nec,17-3028.00,Calibration Technologists and Technicians,partial
313999,Engineering Technicians nec,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313999,Engineering Technicians nec,17-3029.01,Non-Destructive Testing Specialists,partial
313999,Engineering Technicians nec,17-3029.08,Photonics Technicians,partial
313999,Engineering Technicians nec,17-3025.00,Environmental Engineering Technologists and Technicians,partial
313999,Engineering Technicians nec,17-3026.00,Industrial Engineering Technologists and Technicians,partial
313999,Engineering Technicians nec,17-3026.01,Nanotechnology Engineering Technologists and Technicians,partial
313999,Engineering Technicians nec,19-4051.00,Nuclear Technicians,partial
313999,Engineering Technicians nec,19-4051.02,Nuclear Monitoring Technicians,partial
313999,Engineering Technicians nec,19-4092.00,Forensic Science Technicians,partial
313999,Engineering Technicians nec,19-4044.00,Hydrologic Technicians,partial
313999,Engineering Technicians nec,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",partial
313999,Engineering Technicians nec,19-4099.01,Quality Control Analysts,partial
313999,Engineering Technicians nec,19-4099.03,Remote Sensing Technicians,partial
313999,Engineering Technicians nec,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
313999,Engineering Technicians nec,33-2021.00,Fire Inspectors and Investigators,partial
313999,Engineering Technicians nec,33-2022.00,Forest Fire Inspectors and Prevention Specialists,partial
313999,Engineering Technicians nec,53-6041.00,Traffic Technicians,partial
314131,ICT Hardware Technician,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",partial
314131,ICT Hardware Technician,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",partial
314131,ICT Hardware Technician,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",partial
314131,ICT Hardware Technician,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",partial
314131,ICT Hardware Technician,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",partial
314131,ICT Hardware Technician,49-9052.00,Telecommunications Line Installers and Repairers,partial
314131,ICT Hardware Technician,49-2097.00,Audiovisual Equipment Installers and Repairers,partial
314132,Radiocommunications Technician,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,partial
314133,Telecommunications Field Engineer,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact
314134,Telecommunications Network Designer,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact
314135,Telecommunications Technical Officer or Technologist,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,exact
314136,Web Administrator,15-1254.00,Web Developers,partial
314136,Web Administrator,15-1255.00,Web and Digital Interface Designers,partial
314136,Web Administrator,15-1255.01,Video Game Designers,partial
314136,Web Administrator,15-1244.00,Network and Computer Systems Administrators,partial
314199,ICT and Telecommunications Technicians nec,15-1299.00,"Computer Occupations, All Other",partial
314199,ICT and Telecommunications Technicians nec,15-1299.01,Web Administrators,partial
314199,ICT and Telecommunications Technicians nec,15-1299.02,Geographic Information Systems Technologists and Technicians,partial
314199,ICT and Telecommunications Technicians nec,15-1299.03,Document Management Specialists,partial
314199,ICT and Telecommunications Technicians nec,15-1299.04,Penetration Testers,partial
314199,ICT and Telecommunications Technicians nec,15-1299.05,Information Security Engineers,partial
314199,ICT and Telecommunications Technicians nec,15-1299.06,Digital Forensics Analysts,partial
314199,ICT and Telecommunications Technicians nec,15-1299.07,Blockchain Engineers,partial
314199,ICT and Telecommunications Technicians nec,15-1299.08,Computer Systems Engineers/Architects,partial
314199,ICT and Telecommunications Technicians nec,15-1299.09,Information Technology Project Managers,partial
314199,ICT and Telecommunications Technicians nec,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",partial
314199,ICT and Telecommunications Technicians nec,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",partial
314199,ICT and Telecommunications Technicians nec,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",partial
314199,ICT and Telecommunications Technicians nec,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",partial
314199,ICT and Telecommunications Technicians nec,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",partial
314199,ICT and Telecommunications Technicians nec,49-9052.00,Telecommunications Line Installers and Repairers,partial
314199,ICT and Telecommunications Technicians nec,49-2097.00,Audiovisual Equipment Installers and Repairers,partial
314231,ICT Customer Support Officer,15-1232.00,Computer User Support Specialists,partial
314231,ICT Customer Support Officer,15-1231.00,Computer Network Support Specialists,partial
321131,Chef,35-1011.00,Chefs and Head Cooks,partial
321131,Chef,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,partial
322131,Baker,51-3011.00,Bakers,exact
322231,Butcher or Smallgoods Maker,51-3021.00,Butchers and Meat Cutters,partial
322231,Butcher or Smallgoods Maker,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",partial
322231,Butcher or Smallgoods Maker,51-3023.00,Slaughterers and Meat Packers,partial
322231,Butcher or Smallgoods Maker,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",partial
322331,Cook,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,partial
322331,Cook,35-2012.00,"Cooks, Institution and Cafeteria",partial
322331,Cook,35-2013.00,"Cooks, Private Household",partial
322331,Cook,35-2014.00,"Cooks, Restaurant",partial
