skill_id,label,category
skill_apache_maven,Apache Maven,technical
skill_autodesk_revit,Autodesk Revit,technical
skill_epic_systems,Epic Systems,technical
skill_google_workspace_software,Google Workspace software,technical
skill_zoom,Zoom,technical
skill_eclipse_ide,Eclipse IDE,technical
skill_bentley_microstation,Bentley MicroStation,technical
skill_microsoft_visual_studio,Microsoft Visual Studio,technical
skill_microsoft_windows_server,Microsoft Windows Server,technical
skill_blackbaud_the_raiser_s_edge,Blackbaud The Raiser's Edge,technical
skill_node_js,Node.js,technical
skill_mongodb,MongoDB,technical
skill_oracle_hris,Oracle HRIS,technical
skill_meditech_software,MEDITECH software,technical
skill_inventory_management_systems,Inventory management systems,technical
skill_warehouse_management_system_wms,Warehouse management system WMS,technical
skill_autodesk_autocad_civil_3d,Autodesk AutoCAD Civil 3D,technical
skill_purchasing_software,Purchasing software,technical
skill_apache_kafka,Apache Kafka,technical
skill_autodesk_fusion_360,Autodesk Fusion 360,technical
skill_microsoft_power_bi,Microsoft Power BI,technical
skill_workday_software,Workday software,technical
skill_alteryx_software,Alteryx software,technical
skill_unix,UNIX,technical
skill_spring_framework,Spring Framework,technical
skill_red_hat_enterprise_linux,Red Hat Enterprise Linux,technical
skill_perl,Perl,technical
skill_selenium,Selenium,technical
skill_oracle_java,Oracle Java,technical
skill_technology_design,Technology Design,transferable
skill_operations_analysis,Operations Analysis,transferable
skill_complex_problem_solving,Complex Problem Solving,transferable
skill_service_orientation,Service Orientation,transferable
skill_persuasion,Persuasion,transferable
skill_negotiation,Negotiation,transferable
skill_equipment_selection,Equipment Selection,transferable
skill_coordination,Coordination,transferable
skill_social_perceptiveness,Social Perceptiveness,transferable
skill_instructing,Instructing,transferable
skill_installation,Installation,transferable
skill_troubleshooting,Troubleshooting,transferable
skill_operations_monitoring,Operations Monitoring,transferable
skill_operation_and_control,Operation and Control,transferable
skill_equipment_maintenance,Equipment Maintenance,transferable
skill_repairing,Repairing,transferable
skill_quality_control_analysis,Quality Control Analysis,transferable
skill_judgment_and_decision_making,Judgment and Decision Making,transferable
skill_systems_analysis,Systems Analysis,transferable
skill_time_management,Time Management,transferable
skill_management_of_financial_resources,Management of Financial Resources,transferable
skill_management_of_material_resources,Management of Material Resources,transferable
skill_management_of_personnel_resources,Management of Personnel Resources,transferable
skill_programming,Programming,transferable
skill_systems_evaluation,Systems Evaluation,transferable
