osca_code,osca_title,onet_code,onet_title,similarity_score,second_similarity_score,score_gap,candidate_count,mapping_status,mapping_method
619935,Retail Buyer,,,0.2425757985675594,0.1076424671609933,0.1349333314065661,3,manual_review,manual_review
619999,Sales Support Workers nec,,,,,,5,manual_review,manual_review
619134,Telemarketer,41-9041.00,Telemarketers,0.412340609245043,,,1,accepted,single_candidate
461931,Airline Customer Support Worker,,,0.0702648895630148,0.0127667302621411,0.0574981593008737,3,manual_review,manual_review
619931,Entertainment Venue Attendant,,,0.169863691097383,0.157495949865622,0.012367741231761015,7,manual_review,manual_review
619934,Reservations Agent,,,0.2403986210233733,0.1471393873367897,0.09325923368658362,5,manual_review,manual_review
899532,Railways Assistant,,,0.0441412053089886,0.0426350881728492,0.0015061171361393996,5,manual_review,manual_review
899531,Rail Guard or Conductor,53-6061.00,Passenger Attendants,0.3462581733017319,0.0670132379673625,0.27924493533436945,4,accepted,score_and_gap_rule
461932,Fashion Stylist,,,0.0472559443167641,0.028012987039798,0.0192429572769661,8,manual_review,manual_review
619135,Visual Merchandiser,27-1026.00,Merchandise Displayers and Window Trimmers,0.4452923279591742,0.1337174403766243,0.31157488758254986,3,accepted,score_and_gap_rule
619933,Personal Shopper,,,0.0654309606905302,,,2,manual_review,manual_review
731932,Clay Products Machine Operator,51-9195.05,"Potters, Manufacturing",0.3455372612829223,0.1255870634155119,0.21995019786741038,9,accepted,score_and_gap_rule
731933,Concrete Products Machine Operator,,,0.1858301985854129,0.1824054774584288,0.0034247211269840816,5,manual_review,manual_review
731935,Glass Production Machine Operator,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0.4076757228179308,0.1332520278661105,0.2744236949518203,9,accepted,score_and_gap_rule
731938,Stone Processing Machine Operator,,,0.2480955875207296,0.0816589892134815,0.1664365983072481,5,manual_review,manual_review
731999,Machine Operators nec,,,,,,17,manual_review,manual_review
731131,Industrial Spray Painter,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.3500067951882191,,,1,accepted,single_candidate
731231,Paper and Pulp Production Operator,,,0.1526341309658547,0.0906552799096402,0.06197885105621451,4,manual_review,manual_review
731232,Timber and Wood Production Operator,,,0.1640724047077979,0.1248666350275594,0.039205769680238506,3,manual_review,manual_review
731936,Photographic Print Processor,51-9151.00,Photographic Process Workers and Processing Machine Operators,0.3558853450690782,0.0546855428126442,0.301199802256434,11,accepted,score_and_gap_rule
731332,Plastics Production Machine Operator,,,0.1888971438740248,0.1664433815238765,0.022453762350148287,13,manual_review,manual_review
731331,Plastics Fabricator or Welder,,,0.1495532031041072,0.1080839802115688,0.04146922289253839,13,manual_review,manual_review
731333,Reinforced Plastic and Composite Production Worker,,,0.1361435960114551,0.1242475387036632,0.01189605730779189,13,manual_review,manual_review
731334,Rubber Production Machine Operator,,,0.1971344831813986,0.1566343485940467,0.04050013458735188,8,manual_review,manual_review
731399,Plastics and Rubber Production Machine Operators nec,,,,,,13,manual_review,manual_review
731431,Sewing Machinist,51-6031.00,Sewing Machine Operators,0.3019062606862087,,,1,accepted,single_candidate
731432,Textile or Footwear Production Machine Operator,,,0.2561738985075376,0.1591095507680821,0.09706434773945549,6,manual_review,manual_review
731931,Chemical Production Machine Operator,,,0.1988840700734043,0.1987447108829992,0.0001393591904051139,6,manual_review,manual_review
731132,Sandblaster,,,0.1897834037721364,0.1007031965210551,0.0890802072510813,4,manual_review,manual_review
731937,Sterilisation Technician,,,0.1846214525335577,0.0790596639033254,0.10556178863023229,10,manual_review,manual_review
732131,"Crane, Hoist or Lift Operator",,,0.2568053884718086,0.2147339341568599,0.042071454314948714,7,manual_review,manual_review
399231,Driller,,,0.3357779641378861,0.2858694931708171,0.04990847096706896,15,manual_review,manual_review
732331,Miner,,,0.1922877511175901,0.085940208783476,0.10634754233411411,10,manual_review,manual_review
732332,Shot Firer,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.5292541699900861,,,1,accepted,single_candidate
732231,Engineering Production Worker,,,0.2141089841829875,0.166480712117124,0.04762827206586348,25,manual_review,manual_review
732931,Boiler or Engine Operator,51-8021.00,Stationary Engineers and Boiler Operators,0.2694549421112993,,,1,accepted,single_candidate
732932,Bulk Materials Handling Plant Operator,,,0.1293015032595794,0.0944508316207971,0.034850671638782305,6,manual_review,manual_review
731934,Crushing Machine Operator,,,0.2203120654731599,0.1811891487003962,0.039122916772763694,6,manual_review,manual_review
732999,Stationary Plant Operators nec,,,,,,13,manual_review,manual_review
732933,Concrete Batching Plant Operator,,,0.2542245268013781,0.1908789848188232,0.06334554198255488,5,manual_review,manual_review
