osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
231132,Circus Performer or Trainer,211113,p,Entertainer or Variety Artist
231132,Circus Performer or Trainer,211199,p,"Actors, Dancers and Other Entertainers nec"
231133,Content Creator (Social Media),211199,p,"Actors, Dancers and Other Entertainers nec"
231134,Dancer or Choreographer,211112,,Dancer or Choreographer
231135,Entertainer or Variety Performer,211113,p,Entertainer or Variety Artist
231199,"Actors, Dancers and Other Entertainers nec",211199,p,"Actors, Dancers and Other Entertainers nec"
231231,Author,212211,,Author
231232,Book or Script Editor,212212,,Book or Script Editor
231331,Copywriter,212411,,Copywriter
231332,Journalist,212413,,Print Journalist
231332,Journalist,212414,,Radio Journalist
231332,Journalist,212416,,Television Journalist
231332,Journalist,212499,p,Journalists and Other Writers nec
231333,Print or Digital Content Editor,212412,,Newspaper or Periodical Editor
231333,Print or Digital Content Editor,599913,,Proof Reader
231334,Technical Writer,212415,,Technical Writer
231399,Journalists and Other Writers nec,212499,p,Journalists and Other Writers nec
231431,Artistic Director,212111,,Artistic Director
231432,Audio or Live Performance Director,212312,p,"Director (Film, Television, Radio or Stage)"
231432,Audio or Live Performance Director,212399,p,"Film, Television, Radio and Stage Directors nec"
231433,Cinematographer,212313,,Director of Photography
231434,Film and Video Editor,212314,,Film and Video Editor
231435,Production Manager (Screen or Live Performance),212112,p,Media Producer (excluding Video)
231435,Production Manager (Screen or Live Performance),212316,,Stage Manager
231436,Screen Director,212312,p,"Director (Film, Television, Radio or Stage)"
231437,Screen or Live Performance Designer,212311,,"Art Director (Film, Television or Stage)"
231437,Screen or Live Performance Designer,232311,p,Fashion Designer
231438,Technical Director,212317,,Technical Director
231438,Technical Director,212399,p,"Film, Television, Radio and Stage Directors nec"
231499,Media Directors and Designers nec,212399,p,"Film, Television, Radio and Stage Directors nec"
231531,Audio Producer,212112,p,Media Producer (excluding Video)
231531,Audio Producer,212315,p,Program Director (Television or Radio)
231532,Live Performance Producer,212112,p,Media Producer (excluding Video)
231533,Screen Producer,212112,p,Media Producer (excluding Video)
231533,Screen Producer,212315,p,Program Director (Television or Radio)
